CustomerID,num_orders,total_revenue,total_items,first_purchase,last_purchase,recency,frequency,monetary,R_score,F_score,M_score,RFM_score
12346,1,77183.6,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,326,1,77183.6,1,1,5,115
12347,7,4310.0,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,2,7,4310.0,5,5,5,555
12348,4,1797.24,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,75,4,1797.24,2,4,4,244
12349,1,1757.55,631,2011-11-21 09:51:00,2011-11-21 09:51:00,19,1,1757.55,4,1,4,414
12350,1,334.4,197,2011-02-02 16:01:00,2011-02-02 16:01:00,310,1,334.4,1,1,2,112
12352,8,2506.04,536,2011-02-16 12:33:00,2011-11-03 14:37:00,36,8,2506.04,3,5,5,355
12353,1,89.0,20,2011-05-19 17:47:00,2011-05-19 17:47:00,204,1,89.0,1,1,1,111
12354,1,1079.4,530,2011-04-21 13:11:00,2011-04-21 13:11:00,232,1,1079.4,1,1,4,114
12355,1,459.4,240,2011-05-09 13:49:00,2011-05-09 13:49:00,214,1,459.4,1,1,2,112
12356,3,2811.43,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,23,3,2811.43,4,3,5,435
12357,1,6207.67,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,33,1,6207.67,4,1,5,415
12358,2,1168.06,248,2011-07-12 10:04:00,2011-12-08 10:26:00,2,2,1168.06,5,2,4,524
12359,4,6310.03,1609,2011-01-12 12:43:00,2011-10-13 12:47:00,58,4,6310.03,3,4,5,345
12360,3,2662.06,1165,2011-05-23 09:43:00,2011-10-18 15:22:00,52,3,2662.06,3,3,5,335
12361,1,189.9,91,2011-02-25 13:51:00,2011-02-25 13:51:00,287,1,189.9,1,1,1,111
12362,10,5226.23,2229,2011-02-17 10:30:00,2011-12-06 15:40:00,3,10,5226.23,5,5,5,555
12363,2,552.0,408,2011-04-11 13:29:00,2011-08-22 10:18:00,110,2,552.0,2,2,3,223
12364,4,1313.1,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,8,4,1313.1,5,4,4,544
12365,2,641.38,174,2011-02-21 13:51:00,2011-02-21 14:04:00,291,2,641.38,1,2,3,123
12367,1,168.9,173,2011-12-05 16:48:00,2011-12-05 16:48:00,4,1,168.9,5,1,1,511
12370,4,3541.94,2352,2010-12-14 12:58:00,2011-10-19 14:51:00,51,4,3541.94,3,4,5,345
12371,2,1887.96,591,2011-10-11 10:43:00,2011-10-26 10:16:00,45,2,1887.96,3,2,4,324
12372,3,1298.04,794,2011-02-16 12:46:00,2011-09-29 12:12:00,72,3,1298.04,3,3,4,334
12373,1,364.6,197,2011-02-01 13:10:00,2011-02-01 13:10:00,311,1,364.6,1,1,2,112
12374,1,742.9300000000001,342,2011-11-14 15:37:00,2011-11-14 15:37:00,25,1,742.9300000000001,4,1,3,413
12375,2,457.5,178,2011-09-02 14:23:00,2011-11-29 10:36:00,11,2,457.5,5,2,2,522
12377,2,1628.12,944,2010-12-20 09:37:00,2011-01-28 15:45:00,315,2,1628.12,1,2,4,124
12378,1,4008.62,2529,2011-08-02 10:34:00,2011-08-02 10:34:00,130,1,4008.62,2,1,5,215
12379,2,852.24,407,2011-06-22 16:32:00,2011-09-19 10:09:00,82,2,852.24,2,2,3,223
12380,4,2724.81,1127,2011-06-07 09:49:00,2011-11-18 11:27:00,22,4,2724.81,4,4,5,445
12381,5,1845.31,808,2011-08-12 09:57:00,2011-12-05 12:44:00,5,5,1845.31,5,4,4,544
12383,5,1850.56,1532,2010-12-22 14:28:00,2011-06-08 08:02:00,185,5,1850.56,1,4,4,144
12384,2,585.27,126,2011-08-10 11:23:00,2011-11-11 08:39:00,29,2,585.27,4,2,3,423
12386,2,401.9,354,2010-12-08 09:53:00,2011-01-06 12:37:00,338,2,401.9,1,2,2,122
12388,6,2780.66,1462,2011-01-17 11:12:00,2011-11-24 12:30:00,16,6,2780.66,4,4,5,445
12390,1,549.84,353,2011-09-21 09:33:00,2011-09-21 09:33:00,80,1,549.84,2,1,3,213
12391,1,439.66,293,2011-11-18 12:07:00,2011-11-18 12:07:00,22,1,439.66,4,1,2,412
12393,4,1582.6000000000001,816,2011-01-11 09:47:00,2011-09-28 15:41:00,72,4,1582.6000000000001,3,4,4,344
12394,2,1272.48,819,2011-05-06 14:01:00,2011-10-07 08:08:00,64,2,1272.48,3,2,4,324
12395,12,3018.63,2118,2010-12-03 16:35:00,2011-11-20 15:21:00,19,12,3018.63,4,5,5,455
12397,2,2409.9,1263,2011-07-27 14:21:00,2011-11-04 09:52:00,36,2,2409.9,3,2,5,325
12398,1,1635.6599999999999,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,46,1,1635.6599999999999,3,1,4,314
12399,4,1108.65,1178,2011-03-23 09:42:00,2011-08-12 13:15:00,119,4,1108.65,2,4,4,244
12401,1,84.3,11,2011-02-09 13:50:00,2011-02-09 13:50:00,303,1,84.3,1,1,1,111
12402,1,225.6,94,2011-01-20 13:49:00,2011-01-20 13:49:00,323,1,225.6,1,1,1,111
12403,1,427.7,96,2011-10-21 10:51:00,2011-10-21 10:51:00,50,1,427.7,3,1,2,312
12405,1,1710.39,857,2011-07-14 08:52:00,2011-07-14 08:52:00,149,1,1710.39,2,1,4,214
12406,2,3415.3,1818,2011-06-09 10:23:00,2011-11-17 19:22:00,22,2,3415.3,4,2,5,425
12407,5,1708.1200000000001,1416,2011-03-20 13:21:00,2011-10-21 10:11:00,50,5,1708.1200000000001,3,4,4,344
12408,5,2888.55,1409,2011-03-24 14:46:00,2011-11-07 12:27:00,33,5,2888.55,4,4,5,445
12409,3,11072.67,5551,2011-06-10 12:19:00,2011-09-22 10:38:00,79,3,11072.67,2,3,5,235
12410,2,693.3299999999999,211,2011-02-04 10:38:00,2011-02-04 10:39:00,309,2,693.3299999999999,1,2,3,123
12412,3,1226.88,829,2011-06-23 13:51:00,2011-09-26 10:16:00,75,3,1226.88,2,3,4,234
12413,3,758.1,286,2011-01-06 16:12:00,2011-10-04 09:00:00,67,3,758.1,3,3,3,333
12414,3,562.41,300,2011-02-02 14:51:00,2011-05-06 14:51:00,217,3,562.41,1,3,3,133
12415,21,124914.53,77374,2011-01-06 11:12:00,2011-11-15 14:22:00,24,21,124914.53,4,5,5,455
12417,9,3649.1,1552,2010-12-17 11:51:00,2011-12-06 14:52:00,3,9,3649.1,5,5,5,555
12418,1,668.58,407,2011-08-19 11:08:00,2011-08-19 11:08:00,113,1,668.58,2,1,3,213
12420,1,600.39,345,2011-10-07 08:55:00,2011-10-07 08:55:00,64,1,600.39,3,1,3,313
12421,4,807.04,484,2011-01-24 15:09:00,2011-11-24 09:07:00,16,4,807.04,4,4,3,443
12422,3,803.5600000000001,370,2011-01-19 09:13:00,2011-09-05 09:48:00,96,3,803.5600000000001,2,3,3,233
12423,8,1859.31,1339,2010-12-21 10:54:00,2011-12-09 10:10:00,1,8,1859.31,5,5,4,554
12424,2,1760.96,740,2011-06-30 12:06:00,2011-06-30 12:06:00,163,2,1760.96,2,2,4,224
12425,1,777.2,496,2011-09-22 17:31:00,2011-09-22 17:31:00,78,1,777.2,2,1,3,213
12426,1,582.73,258,2011-05-29 12:26:00,2011-05-29 12:26:00,195,1,582.73,1,1,3,113
12427,3,825.8,533,2010-12-03 10:44:00,2011-11-18 08:56:00,22,3,825.8,4,3,3,433
12428,9,7956.46,3536,2011-03-01 09:33:00,2011-11-14 08:22:00,26,9,7956.46,4,5,5,455
12429,4,3750.4,1557,2010-12-09 12:05:00,2011-11-30 17:22:00,9,4,3750.4,5,4,5,545
12430,1,256.4,117,2011-10-27 15:09:00,2011-10-27 15:09:00,43,1,256.4,3,1,2,312
12431,15,6419.95,2896,2010-12-01 10:03:00,2011-11-04 11:55:00,36,15,6419.95,3,5,5,355
12432,5,5059.32,1801,2011-06-20 13:27:00,2011-10-28 11:43:00,43,5,5059.32,3,4,5,345
12433,7,13375.87,11071,2010-12-01 13:24:00,2011-12-09 10:02:00,1,7,13375.87,5,5,5,555
12434,2,806.14,394,2011-03-24 13:05:00,2011-09-16 12:38:00,85,2,806.14,2,2,3,223
12435,2,7829.89,2055,2011-03-17 07:40:00,2011-09-21 09:06:00,80,2,7829.89,2,2,5,225
12436,1,509.01,211,2011-09-01 12:09:00,2011-09-01 12:09:00,100,1,509.01,2,1,3,213
12437,18,4951.41,2922,2011-01-12 14:13:00,2011-12-08 11:35:00,2,18,4951.41,5,5,5,555
12438,2,2906.85,1180,2011-07-22 13:29:00,2011-11-25 13:28:00,14,2,2906.85,4,2,5,425
12441,1,173.55,121,2010-12-08 10:45:00,2010-12-08 10:45:00,367,1,173.55,1,1,1,111
12442,1,172.06,182,2011-12-06 14:22:00,2011-12-06 14:22:00,3,1,172.06,5,1,1,511
12444,5,5005.46,1153,2011-06-21 14:00:00,2011-11-18 13:23:00,21,5,5005.46,4,4,5,445
12445,1,133.4,62,2011-11-17 18:43:00,2011-11-17 18:43:00,22,1,133.4,4,1,1,411
12446,1,1002.3100000000001,351,2011-10-13 12:50:00,2011-10-13 12:50:00,58,1,1002.3100000000001,3,1,4,314
12447,1,476.49,190,2011-04-10 13:25:00,2011-04-10 13:25:00,243,1,476.49,1,1,2,112
12448,1,449.45,243,2011-10-26 13:46:00,2011-10-26 13:46:00,44,1,449.45,3,1,2,312
12449,4,4067.29,1553,2011-06-05 15:37:00,2011-11-17 13:46:00,22,4,4067.29,4,4,5,445
12450,2,197.88,128,2011-06-19 14:36:00,2011-07-06 14:41:00,156,2,197.88,2,2,1,221
12451,5,9035.52,6575,2011-01-19 09:05:00,2011-11-29 08:40:00,11,5,9035.52,5,4,5,545
12452,2,430.57,185,2011-11-23 08:05:00,2011-11-23 10:28:00,17,2,430.57,4,2,2,422
12453,1,707.09,473,2011-07-28 14:08:00,2011-07-28 14:08:00,134,1,707.09,2,1,3,213
12454,1,3528.34,1006,2011-10-14 17:13:00,2011-10-14 17:13:00,56,1,3528.34,3,1,5,315
12455,6,2466.86,2089,2011-02-16 09:56:00,2011-09-27 15:31:00,73,6,2466.86,2,4,5,245
12456,3,3181.04,1633,2011-03-30 09:12:00,2011-10-26 14:41:00,44,3,3181.04,3,3,5,335
12457,7,2363.23,843,2011-04-14 18:57:00,2011-10-04 13:13:00,66,7,2363.23,3,5,5,355
12458,2,947.4,506,2011-02-28 10:55:00,2011-09-29 15:25:00,71,2,947.4,3,2,4,324
12461,2,826.88,287,2011-07-08 10:23:00,2011-09-06 16:57:00,94,2,826.88,2,2,3,223
12462,2,1189.59,536,2011-02-09 14:44:00,2011-11-21 09:11:00,19,2,1189.59,4,2,4,424
12463,4,1344.78,776,2011-04-12 12:47:00,2011-10-17 13:44:00,53,4,1344.78,3,4,4,344
12464,8,1212.05,112,2011-02-03 13:30:00,2011-11-29 13:33:00,10,8,1212.05,5,5,4,554
